Elapsed_Time,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W
432.807,-0.0008950551673711955,0.0018721747302894137,-0.040006581513735345,0.0003707042839225688,0.0004966215905042646,-0.001368606570619591,0.9999988714300555
432.817,-0.0008801693550332359,0.0018811151559592282,-0.0400060629814272,0.00033928528784833847,0.0005227722541850426,-0.0016656070577482562,0.9999984186726463
432.827,-0.0008956179790223066,0.0018806010413572008,-0.04002280875084048,0.0003507156268286699,0.0005027190732169274,-0.0013669522517538067,0.9999988778561825
432.837,-0.0008814416510056504,0.0018887276555294608,-0.04002060368022563,0.0003160467476859446,0.0005323878113250829,-0.0016636478798120185,0.9999984244754607
432.847,-0.0008970493329375837,0.0018779518688505179,-0.04001708836082331,0.0003257842455597824,0.0005145237131626706,-0.0013646753736704733,0.9999988833949259
432.857,-0.0008826717006693707,0.0018864973060219738,-0.04001534697780078,0.00029098740423143195,0.000545134623792978,-0.0016611601367545433,0.9999984293495529
432.867,-0.000898196275206847,0.0018759953888514045,-0.04001223082617429,0.00030067957791643713,0.0005279374254743324,-0.0013619588005814066,0.9999988879704276
432.887,-0.0008836880063329865,0.0018846990213266244,-0.040010914958765895,0.0002657427262537145,0.0005591491739113955,-0.0016580742167053698,0.9999984337602219
432.887,-0.0008992412896326658,0.0018741602347221574,-0.04000803679041945,0.0002752097985426577,0.0005424768519471244,-0.0013587190902533647,0.9999988919298191
432.897,-0.0008847068634861572,0.0018827265161782734,-0.0400069887071145,0.00024001922297870484,0.0005742121081295918,-0.0016545661352712641,0.9999984375398452
432.917,-0.0009003130397810346,0.0018721481291359536,-0.04000433365158161,0.0002493982589438181,0.0005580127081420623,-0.0013549519625612404,0.9999988952631423
432.917,-0.0008857620305797598,0.001880666620740477,-0.04000345208891555,0.00021427383749420933,0.0005901458428574434,-0.001650758442789021,0.999998440404369
432.937,-0.0009014030428553661,0.0018701466262289782,-0.04000094593251978,0.00022386504029043382,0.0005743077385315677,-0.0013508827782731134,0.9999988975847846
432.937,-0.0008868234355784329,0.0018786704106677347,-0.04000017843247115,0.00018904976309238014,0.0006067201139198831,-0.0016465805490254585,0.99999844246048
432.947,-0.0009024892648590736,0.0018682191404484293,-0.039997759650766934,0.00019901602074463482,0.0005911332975045247,-0.0013466426759721148,0.9999988987531694
432.957,-0.0008878816747922233,0.001876742533859744,-0.039997063222153434,0.00016462797114491485,0.0006237298988066229,-0.0016420444222561361,0.9999984437731689
432.957,-0.0009035745406418161,0.0018663644791512835,-0.039994702821901915,0.00017509053785792674,0.0006082991793491267,-0.0013421125736084105,0.9999988990240197
432.967,-0.0008889441877642013,0.0018749034007228948,-0.03999405287055992,0.00014125689277964262,0.000640991818190433,-0.001637388684157545,0.9999984440659275
432.987,-0.0009046618298352407,0.0018646127947679043,-0.03999173560535353,0.00015235695399677568,0.0006256265461934771,-0.0013373026056395247,0.9999988984996554
432.997,-0.0008900060832321501,0.001873178945735524,-0.03999112049778693,0.00011921654540555006,0.0006583259392854853,-0.0016327436755644922,0.9999984432700197
433.017,-0.0009071710153605158,0.0018677278106056174,-0.040012767009722366,0.00012882935469700097,0.0006428880899417474,-0.0013325752106536784,0.9999988971699965
433.017,-0.0008924767152601032,0.0018751633492300889,-0.04001054858253103,9.203960564134467e-05,0.0006751099365625397,-0.001628061796375786,0.9999984425838232
433.017,-0.0009086195628509434,0.0018642933476776392,-0.04000684864313914,0.00010051629168113114,0.0006595742066257058,-0.0013277177706805458,0.999998896011322
433.037,-0.000894311051092348,0.0018726141267650161,-0.04000511348773979,6.488337382607546e-05,0.0006918817192784234,-0.0016231921008288972,0.9999984411674041
433.047,-0.0009102626715213367,0.0018624095683686575,-0.04000191232311345,7.464615759956636e-05,0.0006763590590003719,-0.001323064278747862,0.9999988932330318
433.047,-0.0008986831674931148,0.0018777362143101882,-0.04002347744181382,3.863407639101899e-05,0.0007067931784862009,-0.0016181863284301925,0.9999984402106923
433.067,-0.0009138369205308275,0.0018670934800308952,-0.04001905498733305,4.558369510735414e-05,0.0006877655888690184,-0.0013184499620415879,0.999998893294547
433.077,-0.0008986747471639558,0.001875601638109329,-0.04001648607980571,8.986362758036117e-06,0.000716090878979606,-0.001613836497623006,0.999998441331214
433.087,-0.0009139353533863486,0.001865772014823312,-0.040012795821447664,1.7362045308070393e-05,0.0006961443550580636,-0.0013139497505871309,0.9999988943082133
